activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA
,226781,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,CCN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '11.39', 'le': '0.21', 'lle': '0.79', 'sei': '8.7'}",CHEMBL54382,,CHEMBL54382,5.16,False,http://www.openphacts.org/units/Nanomolar,91923,=,1,True,=,,IC50,nM,,7000.0,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,7.0,CCN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,CHEMBL54382,OK,452.55800000000016,4.357000000000003,1,5,59.27
,233210,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,CN(C)C[C@@H]1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26.CS(=O)(=O)O,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '11.11', 'le': '0.2', 'lle': '1.7', 'sei': '7.6'}",CHEMBL432130,,CHEMBL91829,5.21,False,http://www.openphacts.org/units/Nanomolar,91920,=,1,True,=,,IC50,nM,,6200.0,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,6.2,CN(C)C[C@@H]1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26.CS(=O)(=O)O,CHEMBL432130,OK,564.6640000000003,3.0177000000000005,2,8,122.86999999999999
,247742,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(Cc5ccccc5)C4)c6ccccc36)c7ccccc17,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '8.45', 'le': '0.15', 'lle': '-0.92', 'sei': '7.14'}",CHEMBL291975,,CHEMBL291975,4.23,False,http://www.openphacts.org/units/Nanomolar,91917,=,1,True,=,,IC50,nM,,59000.0,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,59.0,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(Cc5ccccc5)C4)c6ccccc36)c7ccccc17,CHEMBL291975,OK,500.6020000000002,5.147200000000004,1,5,59.27
,249199,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '13.43', 'le': '0.24', 'lle': '2.08', 'sei': '8.37'}",CHEMBL55788,,CHEMBL55788,5.7,False,http://www.openphacts.org/units/Nanomolar,91914,=,1,True,=,,IC50,nM,,2000.0,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,2.0,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,CHEMBL55788,OK,424.5040000000002,3.6247000000000025,2,5,68.06
,249199,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '13.43', 'le': '0.24', 'lle': '2.08', 'sei': '8.37'}",CHEMBL55788,,CHEMBL55788,5.7,False,http://www.openphacts.org/units/Nanomolar,91914,=,1,True,=,,IC50,nM,,2000.0,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,2.0,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,CHEMBL55788,OK,424.5040000000002,3.6247000000000025,2,5,68.06
,2121937,[],CHEMBL950203,Inhibition of CaMK2delta,B,BAO_0000190,BAO_0000357,single protein format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,,,CHEMBL1143897,Bioorg. Med. Chem. Lett.,2008.0,"{'bei': '14.59', 'le': '0.26', 'lle': '2.57', 'sei': '9.1'}",CHEMBL55788,,CHEMBL55788,6.19,False,http://www.openphacts.org/units/Nanomolar,702098,=,1,True,=,,IC50,nM,,640.0,CHEMBL2801,Homo sapiens,CaM kinase II delta,9606,,,IC50,uM,UO_0000065,,0.64,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,CHEMBL55788,OK,424.5040000000002,3.6247000000000025,2,5,68.06
,2121937,[],CHEMBL950203,Inhibition of CaMK2delta,B,BAO_0000190,BAO_0000357,single protein format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,,,CHEMBL1143897,Bioorg. Med. Chem. Lett.,2008.0,"{'bei': '14.59', 'le': '0.26', 'lle': '2.57', 'sei': '9.1'}",CHEMBL55788,,CHEMBL55788,6.19,False,http://www.openphacts.org/units/Nanomolar,702098,=,1,True,=,,IC50,nM,,640.0,CHEMBL2801,Homo sapiens,CaM kinase II delta,9606,,,IC50,uM,UO_0000065,,0.64,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,CHEMBL55788,OK,424.5040000000002,3.6247000000000025,2,5,68.06
,250572,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,CC(C)N1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '10.98', 'le': '0.2', 'lle': '0.37', 'sei': '8.65'}",CHEMBL301860,,CHEMBL301860,5.12,False,http://www.openphacts.org/units/Nanomolar,91922,=,1,True,=,,IC50,nM,,7500.0,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,7.5,CC(C)N1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,CHEMBL301860,OK,466.5850000000002,4.745500000000003,1,5,59.27
,251947,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,CN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc26,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '13.01', 'le': '0.24', 'lle': '1.56', 'sei': '7.88'}",CHEMBL52654,,CHEMBL52654,5.52,False,http://www.openphacts.org/units/Nanomolar,91919,=,1,True,=,,IC50,nM,,3000.0,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,3.0,CN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc26,CHEMBL52654,OK,424.5040000000001,3.956500000000002,2,4,70.13
,254638,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(CC5CC5)CC4)c6ccccc36)c7ccccc17,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '9.62', 'le': '0.17', 'lle': '-0.15', 'sei': '7.76'}",CHEMBL55394,,CHEMBL55394,4.6,False,http://www.openphacts.org/units/Nanomolar,91918,=,1,True,=,,IC50,nM,,25000.0,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,25.0,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(CC5CC5)CC4)c6ccccc36)c7ccccc17,CHEMBL55394,OK,478.5960000000003,4.747100000000004,1,5,59.27
