canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,6.2,CHEMBL509032,CaM kinase II alpha
NC1=NC(=O)Nc2sccc12,4.0,CHEMBL2007097,CaM kinase II alpha
NC(COc1cncc(c1)c2ccc3NC(=O)C(=Cc4ccc[nH]4)c3c2)Cc5ccccc5,7.2,CHEMBL1980407,CaM kinase II alpha
COc1ccc(cc1)n2ccc3cnc(Nc4cc(OC)c(OC)c(OC)c4)nc23,5.3,CHEMBL1975927,CaM kinase II alpha
OC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,6.8,CHEMBL1986943,CaM kinase II alpha
CC(Nc1cncc(n1)n2cnc3ccc(cc23)C#N)c4ccccc4F,6.6,CHEMBL1977138,CaM kinase II alpha
Oc1ccc(cc1)c2ccc3C(=Cc4ccc[nH]4)C(=O)Nc3c2,5.6,CHEMBL1980329,CaM kinase II alpha
C1Oc2ccc(cc2O1)c3ncnc4[nH]ccc34,5.0,CHEMBL2004515,CaM kinase II alpha
CN1c2ccc(N)cc2C(c3ccccc3)c4cc(N)ccc14,6.3,CHEMBL1991734,CaM kinase II alpha
CCN(CC)CCNC(=O)c1cccc(c1)n2nc(cc2NC(=O)Nc3cccc4ccccc34)C(C)(C)C,5.4,CHEMBL1970290,CaM kinase II alpha
CCOC(=O)Cc1nc2c3cc(Br)ccc3NC(=O)n2n1,5.7,CHEMBL1974480,CaM kinase II alpha
Nc1ncnc2Nc3ccccc3NC(=O)c12,4.4,CHEMBL1980671,CaM kinase II alpha
O=C1NC(=O)C(=C1c2c[nH]c3ccccc23)c4nc(nc5ccccc45)N6CCNCC6,6.3,CHEMBL1996510,CaM kinase II alpha
Cc1ccccc1c2c(nnn2Cc3ccccc3)c4ccc5[nH]nc(N)c5c4,6.0,CHEMBL2000029,CaM kinase II alpha
CCN1CCN(CC1)c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2,5.4,CHEMBL1967998,CaM kinase II alpha
OC(=O)c1csc2C(=O)NCCNc12,4.5,CHEMBL1974875,CaM kinase II alpha
COc1cccc(OC)c1CNc2nc(NC3CCCCC3)nc4ccc(Cl)cc24,5.5,CHEMBL1996646,CaM kinase II alpha
N#CCC(C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,6.5,CHEMBL2002099,CaM kinase II alpha
COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)C(=O)NCCCN(C)C,5.8,CHEMBL1996702,CaM kinase II alpha
Clc1cc(nc(NC2CCCCC2)n1)c3c[nH]c4ncccc34,5.5,CHEMBL2006439,CaM kinase II alpha
NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,6.1,CHEMBL1982711,CaM kinase II alpha
Nc1ncnc2NCCC(=Nc12)c3ccccc3,4.5,CHEMBL262623,CaM kinase II alpha
COCOc1cccc(OCOC)c1c2ccc(NS(=O)(=O)C)cc2C(=O)OC,6.0,CHEMBL2004025,CaM kinase II alpha
CC(C)(C)Nc1ncnc2[nH]cc(c3ccccc3)c12,5.8,CHEMBL1995211,CaM kinase II alpha
Nc1n[nH]c2cccc(c3ccc(F)cc3)c12,4.6,CHEMBL1971519,CaM kinase II alpha
Nc1n[nH]c2nc(Cl)sc12,4.2,CHEMBL1991867,CaM kinase II alpha
