canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,6.1,CHEMBL509032,CaM kinase II beta
Cc1cccc(c1C)c2[nH]c(cc2C(=O)N)c3ccnc(N)n3,5.4,CHEMBL1964290,CaM kinase II beta
NS(=O)(=O)c1cccc(Nc2ncc(Br)c(Nc3ccc(OCC#N)cc3)n2)c1,5.6,CHEMBL1987034,CaM kinase II beta
Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4cccc(Cl)c4)C=CNC3=O)N5CCOCC5,5.2,CHEMBL2005886,CaM kinase II beta
NC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)n3cnc4ccccc34,5.2,CHEMBL481491,CaM kinase II beta
CC(=O)Nc1c(sc2ccc(Cl)c(Cl)c12)C(=O)N,5.9,CHEMBL1973142,CaM kinase II beta
COc1cccc(c1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,5.8,CHEMBL1982924,CaM kinase II beta
NC1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,7.1,CHEMBL1966628,CaM kinase II beta
NC1CCCCC1Nc2nccc(n2)c3c[nH]c4ncccc34,6.5,CHEMBL1995813,CaM kinase II beta
OC(=O)c1ccccc1Nc2ccnc(Nc3ccc4cn[nH]c4c3)n2,5.3,CHEMBL244378,CaM kinase II beta
Fc1cc2CN(CCn3cc(C4=C(C(=O)NC4=O)c5cnc6ccccn56)c(c1)c23)C(=O)N7CCCCC7,5.2,CHEMBL362558,CaM kinase II beta
OC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,7.0,CHEMBL1986943,CaM kinase II beta
Cc1nc2ccc(NS(=O)(=O)c3ccc(N)cc3)cc2nc1C,5.2,CHEMBL2006263,CaM kinase II beta
CCN1C(=O)SC(=C1C)c2ccnc(Nc3cccc(OC)c3)n2,5.4,CHEMBL1986263,CaM kinase II beta
CSc1c[nH]c2ncnc(NCCCO)c12,5.2,CHEMBL2000114,CaM kinase II beta
CCC1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,5.7,CHEMBL1968380,CaM kinase II beta
