canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,8.4,CHEMBL509032,CaM kinase II delta
NS(=O)(=O)c1cccc(Nc2ncc(Br)c(Nc3ccc(OCC#N)cc3)n2)c1,6.9,CHEMBL1987034,CaM kinase II delta
COc1cccc(c1)C(=O)Nc2n[nH]c3ccc(cc23)c4cn(Cc5ccccc5)nn4,5.7,CHEMBL1980435,CaM kinase II delta
Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4cccc(Cl)c4)C=CNC3=O)N5CCOCC5,6.0,CHEMBL2005886,CaM kinase II delta
NC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)n3cnc4ccccc34,5.4,CHEMBL481491,CaM kinase II delta
CC(=O)Nc1c(sc2ccc(Cl)c(Cl)c12)C(=O)N,5.6,CHEMBL1973142,CaM kinase II delta
COc1cccc(c1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,5.9,CHEMBL1982924,CaM kinase II delta
CCCC(=O)Nc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3c5ccccc5,5.6,CHEMBL2005936,CaM kinase II delta
NC1CCCCC1Nc2nccc(n2)c3c[nH]c4ncccc34,7.4,CHEMBL1995813,CaM kinase II delta
OC(=O)c1ccccc1Nc2ccnc(Nc3ccc4cn[nH]c4c3)n2,6.6,CHEMBL244378,CaM kinase II delta
Fc1cc2CN(CCn3cc(C4=C(C(=O)NC4=O)c5cnc6ccccn56)c(c1)c23)C(=O)N7CCCCC7,5.4,CHEMBL362558,CaM kinase II delta
OC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,7.2,CHEMBL1986943,CaM kinase II delta
Cc1nc2ccc(NS(=O)(=O)c3ccc(N)cc3)cc2nc1C,6.0,CHEMBL2006263,CaM kinase II delta
OC(COc1cncc(C=Cc2ccncc2)c1)Cc3c[nH]c4ccccc34,5.5,CHEMBL1993584,CaM kinase II delta
CCN1C(=O)SC(=C1C)c2ccnc(Nc3cccc(OC)c3)n2,6.3,CHEMBL1986263,CaM kinase II delta
CSc1c[nH]c2ncnc(NCCCO)c12,5.4,CHEMBL2000114,CaM kinase II delta
