canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,7.9,CHEMBL509032,CaM kinase II gamma
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,6.4,CHEMBL475251,CaM kinase II gamma
COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)C(=O)NCc5cccc(F)c5,5.6,CHEMBL2000832,CaM kinase II gamma
NC(=O)c1cc([nH]c1c2ccc(Cl)cc2Cl)c3ccnc(N)n3,5.2,CHEMBL1965660,CaM kinase II gamma
Nc1ncnc2sc(Br)c(c3ccc(NC(=O)Cc4cccc(Cl)c4)cc3)c12,5.4,CHEMBL1980896,CaM kinase II gamma
CC(C)(C)c1ccc2nc([nH]c2c1)c3n[nH]c4ccccc34,5.5,CHEMBL1970104,CaM kinase II gamma
NC(=O)c1cc2c(Oc3cccc(F)c3)cncc2s1,5.4,CHEMBL1964777,CaM kinase II gamma
NC(COc1cncc(c1)c2ccc3NC(=O)Cc3c2)Cc4c[nH]c5ccccc45,5.7,CHEMBL1967302,CaM kinase II gamma
N#Cc1ccc(cn1)c2n[nH]c3c2Cc4ccc(OCCCCN5CCOCC5)cc34,6.5,CHEMBL398951,CaM kinase II gamma
CCN(CC)CCNC(=O)C=Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,6.0,CHEMBL2004716,CaM kinase II gamma
CCCC(=O)Nc1n[nH]c2ccc(cc12)c3cccc(F)c3F,5.4,CHEMBL1985406,CaM kinase II gamma
Cc1cc(O)ccc1N2C=C(C(=O)NN)C(=O)c3ccc(cc23)c4ccncc4,5.5,CHEMBL2000894,CaM kinase II gamma
Nc1ncnc2c1sc3ncnc(N)c23,5.6,CHEMBL1976090,CaM kinase II gamma
OCC(CO)Nc1ncnc2[nH]cc(c3ccccc3)c12,6.7,CHEMBL1992922,CaM kinase II gamma
S=C1NN=C2N1C3=NNC(=S)N3c4sc5CCCc5c24,6.0,CHEMBL1969537,CaM kinase II gamma
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(cnn4c3N)c5cnn(C)c5)c1,5.6,CHEMBL508928,CaM kinase II gamma
CS(=O)(=O)Nc1ccc(cc1)c2ccc3[nH]nc(N)c3c2,5.6,CHEMBL2004892,CaM kinase II gamma
NC(=O)c1cc2c(Oc3ccc(Br)cc3)cncc2s1,5.2,CHEMBL116070,CaM kinase II gamma
Cc1cc(C)c(C)c(OCCCc2c([nH]c3c(cccc23)c4ccccc4C)C(=O)O)c1,5.3,CHEMBL1990821,CaM kinase II gamma
CC(N)COc1cnc(Cl)c(C=Cc2ccncc2)c1,5.2,CHEMBL1993548,CaM kinase II gamma
OC(C(=O)NNC(=S)Nc1ccc(Cl)cc1)(c2ccccc2)c3ccccc3,5.5,CHEMBL1966722,CaM kinase II gamma
COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)C(=O)NCCNC(=O)C,6.1,CHEMBL1975500,CaM kinase II gamma
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ccnc(N)c34)c1,5.4,CHEMBL394619,CaM kinase II gamma
OC(=O)c1c2CCC(=C3CCCC3)c2nc4ccccc14,5.9,CHEMBL1996831,CaM kinase II gamma
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN)c1,5.8,CHEMBL1965988,CaM kinase II gamma
CN1CCC(C(O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,6.0,CHEMBL422897,CaM kinase II gamma
Cc1c(nnn1Cc2ccccc2)c3ccc4[nH]nc(N)c4c3,5.5,CHEMBL1989646,CaM kinase II gamma
CN1CCN(CC1)c2ccc3nc([nH]c3c2)C4=C(N)c5c(F)cccc5NC4=O,6.1,CHEMBL522892,CaM kinase II gamma
COc1cc(C=C2SC(=Nc3ccccc3)NC2=O)ccc1O,5.7,CHEMBL1970522,CaM kinase II gamma
O=C(Nc1n[nH]c2nc3ccccc3cc12)c4ccncc4,5.6,CHEMBL1990415,CaM kinase II gamma
Cc1nc(N)sc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,5.9,CHEMBL482967,CaM kinase II gamma
CNC(=O)c1ccccc1Nc2nc(Nc3ccc(cc3OC)N4CCOCC4)ncc2Cl,6.1,CHEMBL458997,CaM kinase II gamma
Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4cccc(OC(F)(F)F)c4)c3,7.3,CHEMBL1965836,CaM kinase II gamma
