activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,226781,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,CCN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '11.39', 'le': '0.21', 'lle': '0.79', 'sei': '8.7'}",CHEMBL54382,,CHEMBL54382,5.16,False,http://www.openphacts.org/units/Nanomolar,91923,=,1,True,=,,IC50,nM,,7000,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,7
,233210,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,CN(C)C[C@@H]1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26.CS(=O)(=O)O,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '11.11', 'le': '0.2', 'lle': '1.7', 'sei': '7.6'}",CHEMBL432130,,CHEMBL91829,5.21,False,http://www.openphacts.org/units/Nanomolar,91920,=,1,True,=,,IC50,nM,,6200,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,6.2
,247742,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(Cc5ccccc5)C4)c6ccccc36)c7ccccc17,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '8.45', 'le': '0.15', 'lle': '-0.92', 'sei': '7.14'}",CHEMBL291975,,CHEMBL291975,4.23,False,http://www.openphacts.org/units/Nanomolar,91917,=,1,True,=,,IC50,nM,,59000,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,59
,249199,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '13.43', 'le': '0.24', 'lle': '2.08', 'sei': '8.37'}",CHEMBL55788,,CHEMBL55788,5.7,False,http://www.openphacts.org/units/Nanomolar,91914,=,1,True,=,,IC50,nM,,2000,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,2
,250572,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,CC(C)N1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '10.98', 'le': '0.2', 'lle': '0.37', 'sei': '8.65'}",CHEMBL301860,,CHEMBL301860,5.12,False,http://www.openphacts.org/units/Nanomolar,91922,=,1,True,=,,IC50,nM,,7500,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,7.5
,251947,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,CN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc26,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '13.01', 'le': '0.24', 'lle': '1.56', 'sei': '7.88'}",CHEMBL52654,,CHEMBL52654,5.52,False,http://www.openphacts.org/units/Nanomolar,91919,=,1,True,=,,IC50,nM,,3000,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,3
,254638,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(CC5CC5)CC4)c6ccccc36)c7ccccc17,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '9.62', 'le': '0.17', 'lle': '-0.15', 'sei': '7.76'}",CHEMBL55394,,CHEMBL55394,4.6,False,http://www.openphacts.org/units/Nanomolar,91918,=,1,True,=,,IC50,nM,,25000,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,25
,256031,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(Cc5ccccn5)CC4)c6ccccc36)c7ccccc17,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '9.7', 'le': '0.18', 'lle': '0.07', 'sei': '6.93'}",CHEMBL300138,ENZASTAURIN,CHEMBL300138,5,False,http://www.openphacts.org/units/Nanomolar,91925,=,1,True,=,,IC50,nM,,10000,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,10
,257393,[],CHEMBL767435,Inhibition of purified mammalian brain calcium calmodulin dependent protein kinase (Ca calmod),B,BAO_0000190,BAO_0000019,assay format,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '18', 'le': '0.33', 'lle': '4.05', 'sei': '12.09'}",CHEMBL388978,STAUROSPORINE,CHEMBL388978,8.4,False,http://www.openphacts.org/units/Nanomolar,91921,=,1,True,=,,IC50,nM,,4,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,0.004
,258777,[],CHEMBL655348,Inhibition of purified mammalian brain [Ca(2+)]/Calmodulin dependent kinase,B,BAO_0000190,BAO_0000019,assay format,CN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,,,CHEMBL1136405,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '13', 'le': '0.24', 'lle': '1.73', 'sei': '9.62'}",CHEMBL53596,,CHEMBL53596,5.7,False,http://www.openphacts.org/units/Nanomolar,91915,=,1,True,=,,IC50,nM,,2000,CHEMBL2097164,Homo sapiens,CaM kinase II,9606,,,IC50,uM,UO_0000065,,2
